Taxa,Total
O. sativa,2.243300537
P. edulis,0.612748611
A. nepalensis,13.15369768
Z. mays,3.274483318
Z. perennis,2.047591329
T. andersonii,4.521162148
T. dactyloides,8.014566515
T. floridanum,12.41346945
T. laxum,6.341472859
T. peruvianus,1.168746391
U. digitatum,3.275412488
A. mutica,3.290675927
I. rugosum,4.252937763
H. hirta,3.385634487
S. bicolor,1.553871702
