Taxa,Total
Arundinella,13.15369768
T. floridanum,12.41346945
T. dactyloides,8.014566515
T. laxum,6.341472859
T. andersonii,4.521162148
Ischaemum,4.252937763
Hyparrhenia,3.385634487
Apluda,3.290675927
Urelytrum,3.275412488
Z. mays,3.274483318
Oryza,2.243300537
Z. perennis,2.047591329
Sorghum,1.553871702
T. peruvianus,1.168746391
Phyllostachys,0.612748611
